Date,Away,Home,Attendance,Type
2021-04-01,Houston Astros,Oakland Athletics,10436,R
2021-04-01,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-01,San Francisco Giants,Seattle Mariners,8174,R
2021-04-01,Atlanta Braves,Philadelphia Phillies,8529,R
2021-04-01,Tampa Bay Rays,Miami Marlins,7062,R
2021-04-01,Toronto Blue Jays,New York Yankees,10850,R
2021-04-01,Minnesota Twins,Milwaukee Brewers,11740,R
2021-04-01,Chicago White Sox,Los Angeles Angels,13207,R
2021-04-01,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-04-01,St. Louis Cardinals,Cincinnati Reds,12264,R
2021-04-01,Los Angeles Dodgers,Colorado Rockies,20570,R
2021-04-01,Cleveland Indians,Detroit Tigers,8000,R
2021-04-01,Texas Rangers,Kansas City Royals,9155,R
2021-04-02,Houston Astros,Oakland Athletics,5446,R
2021-04-02,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-02,San Francisco Giants,Seattle Mariners,8392,R
2021-04-02,Tampa Bay Rays,Miami Marlins,6115,R
2021-04-02,Chicago White Sox,Los Angeles Angels,12763,R
2021-04-02,Baltimore Orioles,Boston Red Sox,4452,R
2021-04-02,Los Angeles Dodgers,Colorado Rockies,20363,R
2021-04-03,Houston Astros,Oakland Athletics,5803,R
2021-04-03,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-03,San Francisco Giants,Seattle Mariners,8651,R
2021-04-03,Atlanta Braves,Philadelphia Phillies,8582,R
2021-04-03,Tampa Bay Rays,Miami Marlins,6179,R
2021-04-03,Toronto Blue Jays,New York Yankees,10107,R
2021-04-03,Minnesota Twins,Milwaukee Brewers,11383,R
2021-04-03,Chicago White Sox,Los Angeles Angels,12043,R
2021-04-03,Baltimore Orioles,Boston Red Sox,4571,R
2021-04-03,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-04-03,St. Louis Cardinals,Cincinnati Reds,12213,R
2021-04-03,Los Angeles Dodgers,Colorado Rockies,20688,R
2021-04-03,Cleveland Indians,Detroit Tigers,8000,R
2021-04-03,Texas Rangers,Kansas City Royals,8889,R
2021-04-04,Houston Astros,Oakland Athletics,4504,R
2021-04-04,Arizona Diamondbacks,San Diego Padres,10350,R
2021-04-04,Atlanta Braves,Philadelphia Phillies,10773,R
2021-04-04,Toronto Blue Jays,New York Yankees,10066,R
2021-04-04,Minnesota Twins,Milwaukee Brewers,10666,R
2021-04-04,Chicago White Sox,Los Angeles Angels,12396,R
2021-04-04,Baltimore Orioles,Boston Red Sox,4458,R
2021-04-04,Pittsburgh Pirates,Chicago Cubs,10343,R
2021-04-04,St. Louis Cardinals,Cincinnati Reds,11629,R
2021-04-04,Los Angeles Dodgers,Colorado Rockies,20368,R
2021-04-04,Cleveland Indians,Detroit Tigers,8000,R
2021-04-04,Texas Rangers,Kansas City Royals,8869,R
2021-04-05,Los Angeles Dodgers,Oakland Athletics,6653,R
2021-04-05,San Francisco Giants,San Diego Padres,10350,R
2021-04-05,Chicago White Sox,Seattle Mariners,6436,R
2021-04-05,Toronto Blue Jays,Texas Rangers,38238,R
2021-04-05,New York Mets,Philadelphia Phillies,10782,R
2021-04-05,St. Louis Cardinals,Miami Marlins,4605,R
2021-04-05,Baltimore Orioles,New York Yankees,9008,R
2021-04-05,Houston Astros,Los Angeles Angels,13447,R
2021-04-05,Tampa Bay Rays,Boston Red Sox,4577,R
2021-04-05,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-05,Pittsburgh Pirates,Cincinnati Reds,9097,R
2021-04-05,Kansas City Royals,Cleveland Indians,8914,R
2021-04-05,Minnesota Twins,Detroit Tigers,7232,R
2021-04-06,Los Angeles Dodgers,Oakland Athletics,7672,R
2021-04-06,San Francisco Giants,San Diego Padres,10350,R
2021-04-06,Chicago White Sox,Seattle Mariners,7980,R
2021-04-06,Toronto Blue Jays,Texas Rangers,18585,R
2021-04-06,New York Mets,Philadelphia Phillies,10752,R
2021-04-06,St. Louis Cardinals,Miami Marlins,4982,R
2021-04-06,Baltimore Orioles,New York Yankees,9404,R
2021-04-06,Houston Astros,Los Angeles Angels,11122,R
2021-04-06,Tampa Bay Rays,Boston Red Sox,4682,R
2021-04-06,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-06,Pittsburgh Pirates,Cincinnati Reds,11093,R
2021-04-06,Arizona Diamondbacks,Colorado Rockies,10240,R
2021-04-06,Minnesota Twins,Detroit Tigers,7306,R
2021-04-06,Atlanta Braves,Washington Nationals,4801,R
2021-04-07,Los Angeles Dodgers,Oakland Athletics,8131,R
2021-04-07,San Francisco Giants,San Diego Padres,10350,R
2021-04-07,Chicago White Sox,Seattle Mariners,7429,R
2021-04-07,Toronto Blue Jays,Texas Rangers,16876,R
2021-04-07,New York Mets,Philadelphia Phillies,10807,R
2021-04-07,St. Louis Cardinals,Miami Marlins,5244,R
2021-04-07,Baltimore Orioles,New York Yankees,10254,R
2021-04-07,Tampa Bay Rays,Boston Red Sox,4751,R
2021-04-07,Milwaukee Brewers,Chicago Cubs,10343,R
2021-04-07,Pittsburgh Pirates,Cincinnati Reds,11463,R
2021-04-07,Kansas City Royals,Cleveland Indians,5908,R
2021-04-07,Arizona Diamondbacks,Colorado Rockies,12894,R
2021-04-07,Minnesota Twins,Detroit Tigers,7568,R
2021-04-07,Atlanta Braves,Washington Nationals,4927,R
2021-04-08,Chicago Cubs,Pittsburgh Pirates,7749,R
2021-04-08,Milwaukee Brewers,St. Louis Cardinals,13328,R
2021-04-08,Los Angeles Angels,Toronto Blue Jays,1348,R
2021-04-08,Seattle Mariners,Minnesota Twins,9675,R
2021-04-08,Kansas City Royals,Chicago White Sox,8207,R
2021-04-08,Boston Red Sox,Baltimore Orioles,10150,R
2021-04-08,Arizona Diamondbacks,Colorado Rockies,10836,R
